case_id	p0_id	target	test_name	paths	capture_scenarios
mc03-swap-truth	P0-MC-03	lib	ui::tests::pages::apps_resource_projection_preserves_typed_pss_swap_and_measured_zero	success|failure	applications
mc04-gpu-layout	P0-MC-04	lib	ui::perf_devices::tests::gpu_chart_layout_keeps_all_engines_standard_and_only_aggregate_compact	success|responsive	gpu|gpu-compact
mc04-gpu-unavailable	P0-MC-04	lib	ui::tests::devices::gpu_summary_keeps_honest_dashes_for_unavailable_fields	failure	gpu
mc04-gpu-metric-projection	P0-MC-04	lib	ui::perf_devices::tests::gpu_chart_metric_projection_defaults_to_utilization_and_gates_families	success	gpu
mc04-gpu-metric-select	P0-MC-04	lib	ui::perf_devices::tests::gpu_chart_metric_selects_through_the_shared_gate	success|toggle	gpu
mc04-gpu-metric-unavailable	P0-MC-04	lib	ui::perf_devices::tests::gpu_chart_metric_selected_unavailable_stays_explicit	failure	gpu
mc04-gpu-metric-generation	P0-MC-04	lib	ui::perf_devices::tests::gpu_chart_metric_generation_change_resets_to_the_default	lifecycle	gpu
mc04-engine-failures	P0-MC-04	lib	ui::perf_devices::tests::engine_rows_failure_keys_cover_every_typed_kind	failure	gpu
mc04-npu	P0-MC-04	lib	ui::tests::pages::npu_view_model_keeps_all_current_facts_and_marks_missing_values	success|failure|responsive	system|system-compact
mc05-unit-matrix	P0-MC-05	lib	ui::tests::pages::unit_matrix_preference_switches_bytes_bits_and_base	success	-
mc05-rate-units	P0-MC-05	lib	ui::tests::devices_visibility::rate_text_pref_honors_bytes_bits_and_base_ladders	success	network
mc05-sidebar-keyboard	P0-MC-05	lib	app::tests::visual_navigation::f9_toggles_the_performance_sidebar	success|keyboard	gpu
mc05-device-visibility	P0-MC-05	lib	ui::tests::devices_visibility::device_visibility_preferences_filter_the_selector_rail	success|toggle	-
mc05-graph-hover	P0-MC-05	lib	perf_chart::tests::hover_state_tracks_cursor_motion_and_clears_on_cursor_left	success|pointer	cpu
mc05-hover-index	P0-MC-05	lib	perf_chart::tests::hovered_index_maps_cursor_x_to_the_nearest_sample	success|pointer|failure	-
mc05-chart-slot-hover	P0-MC-05	lib	ui::device_chart::device_chart_tests::multi_chart_hover_tracks_the_capacity_slot_grid	success|pointer	gpu
mc05-history-recovery	P0-MC-05	lib	app::history_replay::tests::loading_and_failed_refresh_keep_the_labelled_last_good_graph_projection	failure|recovery	-
mc05-density	P0-MC-05	lib	theme::tests::row_padding_maps_the_shared_density_tokens	success|responsive	-
mc05-settings-round-trip	P0-MC-05	lib	app::tests_parity::settings_change_round_trips_through_the_store_and_rebuilds_the_theme	success|isolation	-
mc05-config-isolation	P0-MC-05	lib	app::tests::visual_navigation::demo_instances_use_isolated_throwaway_config_paths	isolation	-
mc05-config-rollback	P0-MC-05	lib	app::tests_parity::settings_and_appearance::rejected_config_submission_rolls_renderer_preferences_back_to_canonical	failure|recovery	-
mc06-hold-ctrl-pause	P0-MC-06	lib	app::tests::holding_ctrl_pauses_and_releasing_resumes_telemetry_refresh	success|keyboard|lifecycle	-
mc06-pause-shortcut	P0-MC-06	lib	app::tests::ctrl_space_toggles_the_manual_telemetry_pause_through_the_keyboard_lane	success|keyboard	-
mc06-local-modals	P0-MC-06	lib	app::tests_parity::local_modals_open_close_and_swallow_quit_keys	success|keyboard|cancel	-
mc06-about-copy	P0-MC-06	lib	ui::about::tests::copy_about_details_message_records_the_footer_feedback	success|cancel	-
mc06-first-run-failure	P0-MC-06	lib	app::update::first_run::tests::request_action_without_a_platform_folds_the_typed_failure_and_stays_shown	success|failure|cancel	-
mc06-modal-focus-restore	P0-MC-06	lib	app::tests::modal_opening_captures_a_renderer_trigger_and_dismissal_clears_it	focus|cancel	-
mc06-modal-focus-scope	P0-MC-06	lib	app::tests::modal_focus_commands_enter_and_remain_inside_the_modal_scope	focus|keyboard	-
mc06-service-cancel	P0-MC-06	lib	app::tests::settings_and_service_control_tests::service_control_cancel_dismisses_without_submitting	cancel	-
mc07-focus-visible	P0-MC-07	lib	theme::tests::focus_ring_consumes_the_shared_ring_token_and_follows_focus_visible	success|focus	-
mc07-focus-isolation	P0-MC-07	lib	app::tests::table_focus_is_renderer_local_but_selection_stays_in_the_shell	success|focus|isolation	-
mc07-responsive-thresholds	P0-MC-07	lib	ui::responsive::responsive_tests::shared_thresholds_flip_exactly_at_the_gpui_boundaries	success|responsive	cpu-compact|applications-compact
mc07-compact-mirror	P0-MC-07	lib	app::tests::compact_breakpoint_mirrors_gpui_responsive_policy	success|responsive	-
mc07-virtual-window	P0-MC-07	lib	ui::tests::views::applications_row_materialization_is_bounded_to_the_virtual_window	success|responsive	applications-compact
mc07-skins	P0-MC-07	lib	theme::tests::every_skin_variant_resolves_an_iced_theme	success|responsive	-
mc07-capture-readiness	P0-MC-07	lib	capture::tests::marker_line_has_typed_capture_identity	evidence|success	-
