# cross-frontend evidence manifest — P4 pilot (W3-C)
# Committed declaration data only.  An anchor names a behavior test that MUST be
# discoverable by `cargo nextest list`; a test id is never derived from source text.
# evidence_kind: behavior | visual | none | pending.  pending = no discoverable
# anchor has been assigned yet; it is reported/counted, never treated as dangling.
# contract_tag is a stable id of the Rust `ContractTag` enum
# (crates/taskmanager-ui-contract/src/conformance.rs), which is the single
# authority.  The Rust conformance test reads this file and rejects any unknown
# tag; never add a second copy of the tag set in TSV/Python/bash.
subject_kind	subject_id	frontend	status	reason	contract_tag	evidence_kind	test_id_or_scenario	target_or_validator
facet	global-shortcut-ctrl-space	iced	ready		keyboard	behavior	app::tests::ctrl_space_toggles_the_manual_telemetry_pause_through_the_keyboard_lane	iced
facet	global-shortcut-ctrl-space	tui	ready		keyboard	pending	-	-
facet	global-shortcut-ctrl-space	bevy	ready		keyboard	pending	-	-
facet	accesskit-mounted	gpui	ready		accessibility	behavior	gpui_app::root::a11y::tests::publish_accessibility_snapshot_advances_revision_and_updates_published_tree	gpui
facet	accesskit-mounted	iced	ready		accessibility	behavior	a11y::tests::demo_shell_projects_process_rows_graph_and_selection	iced
facet	accesskit-mounted	tui	ready		accessibility	behavior	runtime::tests::semantic_snapshot::process_rows_carry_typed_name_cpu_memory_and_selection_semantics	tui
facet	accesskit-mounted	bevy	ready		accessibility	behavior	window::tests::the_accessibility_bridge_resources_are_installed_once	bevy
facet	accesskit-consumer-oracle	gpui	ready		accessibility	behavior	gpui_app::root::a11y::tests::mapped_tree_is_well_formed_under_accesskit_bridge_contract	gpui
facet	accesskit-consumer-oracle	iced	ready		accessibility	behavior	a11y::tests::mapped_tree_is_well_formed_under_accesskit_consumer_oracle	iced
facet	accesskit-consumer-oracle	tui	ready		accessibility	behavior	runtime::tests::semantic_snapshot::snapshot_stays_in_the_semantic_vocabulary_with_three_domain_cells_per_row	tui
facet	accesskit-consumer-oracle	bevy	ready		accessibility	behavior	semantic::tests::mapped_tree_is_well_formed_under_accesskit_consumer_oracle	bevy
facet	accesskit-actions	gpui	ready		accessibility	behavior	gpui_app::root::a11y::tests::assistive_technology_process_actions_use_the_published_revision_and_selection_owner	gpui
facet	accesskit-actions	iced	ready		accessibility	behavior	a11y::tests::assistive_technology_actions_drive_iced_selection_and_modal	iced
facet	accesskit-actions	tui	ready		accessibility	behavior	runtime::tests::semantic_snapshot::shell_end_task_confirmation_is_a_dismissible_dialog	tui
facet	accesskit-actions	bevy	ready		accessibility	behavior	semantic::tests::arming_the_gate_surfaces_a_modal_an_at_user_can_dismiss	bevy
facet	theme-high-contrast	gpui	ready		theme	behavior	gpui_app::root::appearance::tests::set_high_contrast_toggles_theme_and_presentation	gpui
facet	theme-high-contrast	iced	ready		theme	behavior	theme::tests::high_contrast_mode_strengthens_iced_borders_and_text	iced
facet	theme-high-contrast	tui	ready		theme	pending	-	-
facet	theme-high-contrast	bevy	ready		theme	behavior	palette::tests::high_contrast_theme_strengthens_bevy_palette_and_flags_hc	bevy
facet	theme-follow-system	gpui	ready		theme	behavior	gpui_app::root::appearance::tests::apply_system_color_scheme_follows_desktop_appearance_in_system_mode	gpui
facet	theme-follow-system	iced	ready		theme	behavior	app::appearance::tests::system_mode_follows_the_desktop_and_explicit_choices_do_not	iced
facet	theme-follow-system	tui	ready		theme	pending	-	-
facet	theme-follow-system	bevy	ready		theme	behavior	pages::settings::tests::system_mode_and_theme_preferences_follow_observed_appearance	bevy
facet	chart-fidelity	gpui	ready		chart	behavior	gpui_app::graph::tests::catmull_rom_straight_line_stays_collinear	gpui
facet	chart-fidelity	iced	ready		chart	behavior	perf_chart::tests::chart_program_classifies_partial_buffers_without_cross_fabrication	iced
facet	chart-fidelity	tui	ready		chart	behavior	ui::sparkline::tests::device_summary_uses_latest_average_and_peak_without_gap_fabrication	tui
facet	chart-fidelity	bevy	ready		chart	behavior	widgets::chart::tests::unavailable_samples_break_the_line_instead_of_becoming_zero	bevy
facet	responsive-properties	gpui	ready		responsive	behavior	gpui_app::root::responsive::tests::performance_slots_reflow_as_a_unit_instead_of_starving_the_main_view	gpui
facet	responsive-properties	iced	ready		responsive	behavior	app::tests::compact_breakpoint_mirrors_gpui_responsive_policy	iced
facet	responsive-properties	tui	ready		responsive	behavior	ui::perf_gpu::tests::compact_layout_gives_all_non_fact_rows_to_the_primary_chart	tui
facet	responsive-properties	bevy	ready		responsive	behavior	widgets::layout::tests::performance_layout_switches_before_the_graph_becomes_unusable	bevy
facet	network-throughput	gpui	ready		network	pending	-	-
facet	network-throughput	iced	ready		network	pending	-	-
facet	network-throughput	tui	ready		network	pending	-	-
facet	network-throughput	bevy	ready		network	behavior	pages::processes::details::tests::network_summary_formats_rates_endpoints_and_escalation	bevy
facet	network-connections	gpui	ready		network	behavior	gpui_app::process_insights::tests::connection_readout_preserves_ip_labels_and_displays_local_endpoint_truth	gpui
facet	network-connections	iced	ready		network	behavior	ui::insights::tests::connection_tests::connection_readout_keeps_endpoints_and_family_aware_names	iced
facet	network-connections	tui	ready		network	pending	-	-
facet	network-connections	bevy	ready		network	behavior	pages::processes::details::tests::network_summary_formats_rates_endpoints_and_escalation	bevy
facet	network-escalation	gpui	ready		network	behavior	gpui_app::process_insights::tests::escalation_pill_renders_for_requires_escalation_and_submits_on_click	gpui
facet	network-escalation	iced	ready		network	behavior	app::tests_parity::settings_and_appearance::network_escalation_request_queues_through_the_shared_effect	iced
facet	network-escalation	tui	ready		network	behavior	runtime::tests::process_properties::e_on_insights_tab_yields_the_shared_network_escalation_effect	tui
facet	network-escalation	bevy	ready		network	behavior	pages::processes::details::tests::network_summary_formats_rates_endpoints_and_escalation	bevy
facet	gpu-devices	gpui	ready		gpu	pending	-	-
facet	gpu-devices	iced	ready		gpu	pending	-	-
facet	gpu-devices	tui	ready		gpu	behavior	ui::process_details::insights::tests::format_gpu_device_row_renders_device_id_and_vram	tui
facet	gpu-devices	bevy	ready		gpu	behavior	pages::processes::details::tests::gpu_summary_formats_devices_engines_and_cold_start_gap	bevy
facet	gpu-engines	gpui	ready		gpu	behavior	gpui_app::process_insights::view::gpu_engines::tests::populated_engines_render_with_cold_start_gap	gpui
facet	gpu-engines	iced	ready		gpu	behavior	ui::insights::tests::engine_usage_keeps_a_cold_start_gap_honest	iced
facet	gpu-engines	tui	ready		gpu	behavior	ui::process_details::insights::tests::format_engine_usage_line_keeps_cold_start_honest	tui
facet	gpu-engines	bevy	ready		gpu	behavior	pages::processes::details::tests::gpu_summary_formats_devices_engines_and_cold_start_gap	bevy
facet	resources-memory	gpui	ready		resources	pending	-	-
facet	resources-memory	iced	ready		resources	behavior	ui::insights::tests::format_resource_pair_formats_honestly	iced
facet	resources-memory	tui	ready		resources	pending	-	-
facet	resources-memory	bevy	ready		resources	behavior	pages::processes::details::tests::resources_summary_exposes_memory_cpu_pids_and_cgroup_locator	bevy
facet	resources-cpu-quota	gpui	ready		resources	pending	-	-
facet	resources-cpu-quota	iced	ready		resources	pending	-	-
facet	resources-cpu-quota	tui	ready		resources	pending	-	-
facet	resources-cpu-quota	bevy	ready		resources	behavior	pages::processes::details::tests::resources_summary_handles_unlimited_quotas_and_limits	bevy
facet	resources-pid-limits	gpui	ready		resources	pending	-	-
facet	resources-pid-limits	iced	ready		resources	pending	-	-
facet	resources-pid-limits	tui	ready		resources	pending	-	-
facet	resources-pid-limits	bevy	ready		resources	behavior	pages::processes::details::tests::resources_summary_exposes_memory_cpu_pids_and_cgroup_locator	bevy
facet	resources-cgroup-locator	gpui	ready		resources	pending	-	-
facet	resources-cgroup-locator	iced	ready		resources	pending	-	-
facet	resources-cgroup-locator	tui	ready		resources	pending	-	-
facet	resources-cgroup-locator	bevy	ready		resources	behavior	pages::processes::details::tests::resources_summary_exposes_memory_cpu_pids_and_cgroup_locator	bevy
facet	isolation-kind	gpui	ready		isolation-domain	pending	-	-
facet	isolation-kind	iced	ready		isolation-domain	pending	-	-
facet	isolation-kind	tui	ready		isolation-domain	pending	-	-
facet	isolation-kind	bevy	ready		isolation-domain	behavior	pages::processes::details::tests::isolation_summary_exposes_sandboxed_and_container_dimensions	bevy
facet	isolation-container-id	gpui	ready		isolation-domain	pending	-	-
facet	isolation-container-id	iced	ready		isolation-domain	pending	-	-
facet	isolation-container-id	tui	ready		isolation-domain	pending	-	-
facet	isolation-container-id	bevy	ready		isolation-domain	behavior	pages::processes::details::tests::isolation_summary_exposes_sandboxed_and_container_dimensions	bevy
facet	isolation-sandboxed	gpui	ready		isolation-domain	pending	-	-
facet	isolation-sandboxed	iced	ready		isolation-domain	pending	-	-
facet	isolation-sandboxed	tui	ready		isolation-domain	pending	-	-
facet	isolation-sandboxed	bevy	ready		isolation-domain	behavior	pages::processes::details::tests::isolation_summary_exposes_sandboxed_and_container_dimensions	bevy
facet	threads-list	gpui	ready		threads	behavior	gpui_app::process_insights::view::threads::tests::populated_threads_render_with_missing_cpu_dash	gpui
facet	threads-list	iced	ready		threads	behavior	ui::insights::tests::thread_cpu_helpers_keep_a_missing_value_honest	iced
facet	threads-list	tui	ready		threads	behavior	ui::process_details::insights::tests::thread_preview_renders_header_rows_and_ellipsis	tui
facet	threads-list	bevy	ready		threads	behavior	pages::processes::details::tests::threads_summary_empty_and_populated_with_gap_honesty	bevy
facet	open-files-list	gpui	ready		open-files	behavior	gpui_app::process_insights::view::open_files::tests::populated_open_files_render_with_unreadable_marker	gpui
facet	open-files-list	iced	ready		open-files	behavior	ui::insights::tests::open_file_row_marks_an_unreadable_target_not_blank	iced
facet	open-files-list	tui	ready		open-files	behavior	ui::process_details::insights::tests::open_files_preview_renders_count_unreadable_and_rows	tui
facet	open-files-list	bevy	ready		open-files	behavior	pages::processes::details::tests::open_files_summary_empty_unreadable_and_populated	bevy
facet	environment	gpui	ready		environment	behavior	gpui_app::process_insights::view::environment_tests::populated_environment_renders_rows	gpui
facet	environment	iced	ready		environment	pending	-	-
facet	environment	tui	ready		environment	behavior	ui::process_details::insights::tests::insights_lines_renders_environment_and_gpu_facets	tui
facet	environment	bevy	ready		environment	behavior	pages::processes::details::tests::environment_summary_formats_entries_and_truncation	bevy
facet	request-lifecycle	gpui	ready		lifecycle	behavior	gpui_app::root::process_insights_ui::tests::lifecycle_rejects_wrong_target_late_and_duplicate_terminals	gpui
facet	request-lifecycle	iced	ready		lifecycle	pending	-	-
facet	request-lifecycle	tui	ready		lifecycle	behavior	runtime::tests::process_rows_snapshot::one_shot_motion_updates_cursor_identity_and_insights_target	tui
facet	request-lifecycle	bevy	ready		lifecycle	pending	-	-
facet	loading-state	gpui	ready		loading	pending	-	-
facet	loading-state	iced	ready		loading	pending	-	-
facet	loading-state	tui	ready		loading	behavior	runtime::tests::process_properties::insights_tab_shows_collecting_when_no_projection_is_seeded	tui
facet	loading-state	bevy	ready		loading	pending	-	-
facet	typed-unavailable	gpui	ready		unavailable	behavior	gpui_app::process_insights::tests::typed_state_preserves_unavailable_as_an_error_not_zero	gpui
facet	typed-unavailable	iced	ready		unavailable	behavior	ui::insights::tests::facet_unavailable_text_maps_typed_reasons	iced
facet	typed-unavailable	tui	ready		unavailable	behavior	runtime::tests::process_properties::insights_tab_renders_typed_escalation_reason_and_hint_never_debug	tui
facet	typed-unavailable	bevy	ready		unavailable	behavior	pages::processes::details::tests::selected_projection_uses_the_shared_vm_and_keeps_insights_typed	bevy
facet	partial-display	gpui	partial	per-facet degraded cards render only inside a Ready snapshot; the whole dialog stays Loading until the four core facets reach terminal states, and total failure folds into one typed Error panel (coarser than the per-facet streaming of iced/tui)	partial	pending	-	-
facet	partial-display	iced	ready		partial	behavior	ui::insights::tests::insights_sections_render_all_states_without_panic	iced
facet	partial-display	tui	ready		partial	behavior	runtime::tests::process_properties::insights_tab_renders_thread_list_when_projection_is_present	tui
facet	partial-display	bevy	ready		partial	behavior	pages::processes::details::tests::resources_summary_partial_observations_never_fabricate_missing_values	bevy
facet	gap-honesty	gpui	ready		honesty	behavior	gpui_app::process_insights::view::threads::tests::format_keeps_missing_cpu_time_honest	gpui
facet	gap-honesty	iced	ready		honesty	behavior	ui::insights::tests::engine_usage_keeps_a_cold_start_gap_honest	iced
facet	gap-honesty	tui	ready		honesty	behavior	ui::process_details::insights::tests::format_thread_row_keeps_missing_cpu_honest	tui
facet	gap-honesty	bevy	ready		honesty	behavior	pages::processes::details::tests::threads_summary_empty_and_populated_with_gap_honesty	bevy
facet	capture-evidence	gpui	partial	deterministic capture fixture plus headless window-draw and GUI behavior tests exist, but no dedicated insights scene in the canonical capture matrix	capture-visual	behavior	gpui_app::process_insights::tests::capture_fixture_renders_at_reference_and_compact_sizes	gpui
facet	capture-evidence	iced	partial	headless unit renders and honesty tests exist, dedicated matrix capture scene pending live capture harness	capture-visual	pending	-	-
facet	capture-evidence	tui	partial	TestBackend unit renders and honesty tests exist, dedicated capture scene pending live terminal harness	capture-visual	pending	-	-
facet	capture-evidence	bevy	partial	headless scene assembly and honesty tests exist, dedicated matrix capture scene pending live capture harness	capture-visual	pending	-	-
