id	scope	lifecycle	destination	artifact	owner	install_method	purpose	privilege	conflict_policy	removal_method	source
PKG-ICON-64	system	package-managed	/usr/share/icons/hicolor/64x64/apps/taskforest-taskboard.png	packaging/linux/icons/hicolor/64x64/apps/taskforest-taskboard.png	root	packaging/arch/PKGBUILD or packaging/debian/build-deb-common.sh or packaging/rpm/taskforest-common.spec	TaskForest hicolor 64px process-monitor icon	package transaction	shared path; taskforest-common is the single DEB/RPM owner and the monolithic Arch package ships its own copy; a package transaction owns the installed copy; never overwrite a foreign file	package manager transaction for the owning package (pacman -Rns taskforest-git / dpkg -r taskforest-common / rpm -e taskforest-common)	packaging/arch/PKGBUILD or packaging/debian/build-deb-common.sh or packaging/rpm/taskforest-common.spec
PKG-ICON-128	system	package-managed	/usr/share/icons/hicolor/128x128/apps/taskforest-taskboard.png	packaging/linux/icons/hicolor/128x128/apps/taskforest-taskboard.png	root	packaging/arch/PKGBUILD or packaging/debian/build-deb-common.sh or packaging/rpm/taskforest-common.spec	TaskForest hicolor 128px process-monitor icon	package transaction	shared path; taskforest-common is the single DEB/RPM owner and the monolithic Arch package ships its own copy; a package transaction owns the installed copy; never overwrite a foreign file	package manager transaction for the owning package (pacman -Rns taskforest-git / dpkg -r taskforest-common / rpm -e taskforest-common)	packaging/arch/PKGBUILD or packaging/debian/build-deb-common.sh or packaging/rpm/taskforest-common.spec
PKG-ICON-256	system	package-managed	/usr/share/icons/hicolor/256x256/apps/taskforest-taskboard.png	packaging/linux/icons/hicolor/256x256/apps/taskforest-taskboard.png	root	packaging/arch/PKGBUILD or packaging/debian/build-deb-common.sh or packaging/rpm/taskforest-common.spec	TaskForest hicolor 256px process-monitor icon	package transaction	shared path; taskforest-common is the single DEB/RPM owner and the monolithic Arch package ships its own copy; a package transaction owns the installed copy; never overwrite a foreign file	package manager transaction for the owning package (pacman -Rns taskforest-git / dpkg -r taskforest-common / rpm -e taskforest-common)	packaging/arch/PKGBUILD or packaging/debian/build-deb-common.sh or packaging/rpm/taskforest-common.spec
PKG-ICON-512	system	package-managed	/usr/share/icons/hicolor/512x512/apps/taskforest-taskboard.png	packaging/linux/icons/hicolor/512x512/apps/taskforest-taskboard.png	root	packaging/arch/PKGBUILD or packaging/debian/build-deb-common.sh or packaging/rpm/taskforest-common.spec	TaskForest hicolor 512px process-monitor icon	package transaction	shared path; taskforest-common is the single DEB/RPM owner and the monolithic Arch package ships its own copy; a package transaction owns the installed copy; never overwrite a foreign file	package manager transaction for the owning package (pacman -Rns taskforest-git / dpkg -r taskforest-common / rpm -e taskforest-common)	packaging/arch/PKGBUILD or packaging/debian/build-deb-common.sh or packaging/rpm/taskforest-common.spec
PKG-RAPL-RULE-PAYLOAD	system	package-managed	/usr/share/taskforest/setup/99-taskforest.rules	packaging/linux/99-taskforest.rules	root	packaging/arch/PKGBUILD or packaging/rpm/taskforest.spec	read-only payload for optional RAPL setup	package transaction	package manager owns path; no overwrite outside package	package manager transaction (pacman -Rns taskforest-git / dpkg -r taskforest / rpm -e taskforest)	packaging/arch/PKGBUILD or packaging/rpm/taskforest.spec
PKG-SETUP-POLICY	system	package-managed	/usr/share/polkit-1/actions/io.github.YellowWhiteBlackCat.TaskForest.setup.policy	packaging/linux/io.github.YellowWhiteBlackCat.TaskForest.setup.policy	root	packaging/arch/PKGBUILD or packaging/rpm/taskforest.spec	polkit authorization for the fixed setup helper	package transaction	package manager owns path; no overwrite outside package	package manager transaction (pacman -Rns taskforest-git / dpkg -r taskforest / rpm -e taskforest)	packaging/arch/PKGBUILD or packaging/rpm/taskforest.spec
PKG-LICENSE	system	package-managed	/usr/share/licenses/taskforest/LICENSE	LICENSE	root	packaging/arch/PKGBUILD or packaging/rpm/taskforest.spec	license notice for the installed package	package transaction	package manager owns path; no overwrite outside package	package manager transaction (pacman -Rns taskforest-git / dpkg -r taskforest / rpm -e taskforest)	packaging/arch/PKGBUILD or packaging/rpm/taskforest.spec
PKG-THIRD-PARTY-NOTICES	system	package-managed	/usr/share/licenses/taskforest/THIRD-PARTY-NOTICES.txt	target/release/THIRD-PARTY-NOTICES.txt	root	packaging/arch/PKGBUILD or packaging/rpm/taskforest.spec	third-party license notices generated from the Cargo.lock dependency closure	package transaction	package manager owns path; no overwrite outside package	package manager transaction (pacman -Rns taskforest-git / dpkg -r taskforest / rpm -e taskforest)	packaging/arch/PKGBUILD or packaging/rpm/taskforest.spec
PKG-ICED-BINARY	system	package-managed	/usr/bin/taskforest-i	target/release/taskforest-i	root	packaging/debian/build-deb-iced.sh or packaging/rpm/taskforest-i.spec	TaskForestI Iced frontend executable	package transaction	package manager owns path; no overwrite outside package	package manager transaction (dpkg -r taskforest-i / rpm -e taskforest-i)	packaging/debian/build-deb-iced.sh or packaging/rpm/taskforest-i.spec
PKG-ICED-DESKTOP	system	package-managed	/usr/share/applications/io.github.YellowWhiteBlackCat.TaskForestI.desktop	packaging/linux/io.github.YellowWhiteBlackCat.TaskForestI.desktop	root	packaging/debian/build-deb-iced.sh or packaging/rpm/taskforest-i.spec	TaskForestI freedesktop application entry	package transaction	package manager owns path; no overwrite outside package	package manager transaction (dpkg -r taskforest-i / rpm -e taskforest-i)	packaging/debian/build-deb-iced.sh or packaging/rpm/taskforest-i.spec
PKG-ICED-METAINFO	system	package-managed	/usr/share/metainfo/io.github.YellowWhiteBlackCat.TaskForestI.metainfo.xml	packaging/linux/io.github.YellowWhiteBlackCat.TaskForestI.metainfo.xml	root	packaging/debian/build-deb-iced.sh or packaging/rpm/taskforest-i.spec	TaskForestI AppStream metadata	package transaction	package manager owns path; no overwrite outside package	package manager transaction (dpkg -r taskforest-i / rpm -e taskforest-i)	packaging/debian/build-deb-iced.sh or packaging/rpm/taskforest-i.spec
PKG-ICED-LICENSE	system	package-managed	/usr/share/licenses/taskforest-i/LICENSE	LICENSE	root	packaging/debian/build-deb-iced.sh or packaging/rpm/taskforest-i.spec	license notice for the TaskForestI package	package transaction	package manager owns path; no overwrite outside package	package manager transaction (dpkg -r taskforest-i / rpm -e taskforest-i)	packaging/debian/build-deb-iced.sh or packaging/rpm/taskforest-i.spec
PKG-ICED-THIRD-PARTY-NOTICES	system	package-managed	/usr/share/licenses/taskforest-i/THIRD-PARTY-NOTICES.txt	target/release/THIRD-PARTY-NOTICES.txt	root	packaging/debian/build-deb-iced.sh or packaging/rpm/taskforest-i.spec	third-party license notices for the TaskForestI package	package transaction	package manager owns path; no overwrite outside package	package manager transaction (dpkg -r taskforest-i / rpm -e taskforest-i)	packaging/debian/build-deb-iced.sh or packaging/rpm/taskforest-i.spec
PKG-TUI-BINARY	system	package-managed	/usr/bin/taskforest-t	target/release/taskforest-t	root	packaging/debian/build-deb-tui.sh or packaging/rpm/taskforest-t.spec	TaskForestT terminal frontend executable	package transaction	package manager owns path; no overwrite outside package	package manager transaction (dpkg -r taskforest-t / rpm -e taskforest-t)	packaging/debian/build-deb-tui.sh or packaging/rpm/taskforest-t.spec
PKG-TUI-COMPAT-BINARY	system	package-managed	/usr/bin/taskmanager-tui	target/release/taskforest-t	root	packaging/debian/build-deb-tui.sh or packaging/rpm/taskforest-t.spec	taskmanager-tui compatibility symlink to the TUI executable	package transaction	package manager owns path; no overwrite outside package	package manager transaction (dpkg -r taskforest-t / rpm -e taskforest-t)	packaging/debian/build-deb-tui.sh or packaging/rpm/taskforest-t.spec
PKG-TUI-LICENSE	system	package-managed	/usr/share/licenses/taskforest-t/LICENSE	LICENSE	root	packaging/debian/build-deb-tui.sh or packaging/rpm/taskforest-t.spec	license notice for the TaskForestT package	package transaction	package manager owns path; no overwrite outside package	package manager transaction (dpkg -r taskforest-t / rpm -e taskforest-t)	packaging/debian/build-deb-tui.sh or packaging/rpm/taskforest-t.spec
PKG-TUI-THIRD-PARTY-NOTICES	system	package-managed	/usr/share/licenses/taskforest-t/THIRD-PARTY-NOTICES.txt	target/release/THIRD-PARTY-NOTICES.txt	root	packaging/debian/build-deb-tui.sh or packaging/rpm/taskforest-t.spec	third-party license notices for the TaskForestT package	package transaction	package manager owns path; no overwrite outside package	package manager transaction (dpkg -r taskforest-t / rpm -e taskforest-t)	packaging/debian/build-deb-tui.sh or packaging/rpm/taskforest-t.spec
PKG-TUI-DOC-README	system	package-managed	/usr/share/doc/taskforest-t/README.md	crates/taskmanager-tui/README.md	root	packaging/debian/build-deb-tui.sh or packaging/rpm/taskforest-t.spec	TUI frontend documentation page for the TaskForestT package	package transaction	package manager owns path; no overwrite outside package	package manager transaction (dpkg -r taskforest-t / rpm -e taskforest-t)	packaging/debian/build-deb-tui.sh or packaging/rpm/taskforest-t.spec
PKG-TUI-DOC-COPYRIGHT	system	package-managed	/usr/share/doc/taskforest-t/copyright	LICENSE	root	packaging/debian/build-deb-tui.sh or packaging/rpm/taskforest-t.spec	Debian copyright notice for the TaskForestT package	package transaction	package manager owns path; no overwrite outside package	package manager transaction (dpkg -r taskforest-t / rpm -e taskforest-t)	packaging/debian/build-deb-tui.sh or packaging/rpm/taskforest-t.spec
PKG-BEVY-BINARY	system	package-managed	/usr/bin/taskforest-b	target/release/taskforest-b	root	packaging/debian/build-deb-bevy.sh or packaging/rpm/taskforest-b.spec	TaskForestB Bevy UI frontend executable	package transaction	package manager owns path; no overwrite outside package	package manager transaction (dpkg -r taskforest-b / rpm -e taskforest-b)	packaging/debian/build-deb-bevy.sh or packaging/rpm/taskforest-b.spec
PKG-BEVY-DESKTOP	system	package-managed	/usr/share/applications/io.github.YellowWhiteBlackCat.TaskForestB.desktop	packaging/linux/io.github.YellowWhiteBlackCat.TaskForestB.desktop	root	packaging/debian/build-deb-bevy.sh or packaging/rpm/taskforest-b.spec	TaskForestB freedesktop application entry	package transaction	package manager owns path; no overwrite outside package	package manager transaction (dpkg -r taskforest-b / rpm -e taskforest-b)	packaging/debian/build-deb-bevy.sh or packaging/rpm/taskforest-b.spec
PKG-BEVY-METAINFO	system	package-managed	/usr/share/metainfo/io.github.YellowWhiteBlackCat.TaskForestB.metainfo.xml	packaging/linux/io.github.YellowWhiteBlackCat.TaskForestB.metainfo.xml	root	packaging/debian/build-deb-bevy.sh or packaging/rpm/taskforest-b.spec	TaskForestB AppStream metadata	package transaction	package manager owns path; no overwrite outside package	package manager transaction (dpkg -r taskforest-b / rpm -e taskforest-b)	packaging/debian/build-deb-bevy.sh or packaging/rpm/taskforest-b.spec
PKG-BEVY-LICENSE	system	package-managed	/usr/share/licenses/taskforest-b/LICENSE	LICENSE	root	packaging/debian/build-deb-bevy.sh or packaging/rpm/taskforest-b.spec	license notice for the TaskForestB package	package transaction	package manager owns path; no overwrite outside package	package manager transaction (dpkg -r taskforest-b / rpm -e taskforest-b)	packaging/debian/build-deb-bevy.sh or packaging/rpm/taskforest-b.spec
PKG-BEVY-THIRD-PARTY-NOTICES	system	package-managed	/usr/share/licenses/taskforest-b/THIRD-PARTY-NOTICES.txt	target/release/THIRD-PARTY-NOTICES.txt	root	packaging/debian/build-deb-bevy.sh or packaging/rpm/taskforest-b.spec	third-party license notices for the TaskForestB package	package transaction	package manager owns path; no overwrite outside package	package manager transaction (dpkg -r taskforest-b / rpm -e taskforest-b)	packaging/debian/build-deb-bevy.sh or packaging/rpm/taskforest-b.spec
OPTIONAL-RAPL-UDEV-RULE	system	optional-root	/etc/udev/rules.d/99-taskforest.rules	packaging/linux/99-taskforest.rules	root	pkexec taskforest-setup-helper install	optional world-readable RAPL powercap access	root via polkit	refuse different content; helper writes atomically	pkexec /usr/libexec/taskforest-setup-helper revert	crates/taskmanager-setup-helper/src/main.rs
POLKIT-LIBEXEC-DIR	system	optional-root	/usr/libexec	directory	root	packaging/arch/PKGBUILD or packaging/rpm/taskforest.spec or scripts/manage-polkit-install.sh install perf	standard fixed helper directory	root transaction	create only when absent below real /usr; accept an existing real directory	never remove this shared standard directory	scripts/manage-polkit-install.sh
POLKIT-PERF-HELPER	system	optional-root	/usr/libexec/taskforest-privilege-helper	target/release/taskmanager-privilege-helper	root	packaging/arch/PKGBUILD or packaging/rpm/taskforest.spec or scripts/manage-polkit-install.sh install perf	Intel i915/xe PMU helper	root via polkit	install only from reviewed artifact; no direct overwrite	package transaction or scripts/manage-polkit-install.sh uninstall perf	polkit/io.github.YellowWhiteBlackCat.TaskForest.perf-helper.policy.in
POLKIT-PERF-POLICY	system	optional-root	/usr/share/polkit-1/actions/io.github.YellowWhiteBlackCat.TaskForest.perf-helper.policy	polkit/io.github.YellowWhiteBlackCat.TaskForest.perf-helper.policy.in	root	packaging/arch/PKGBUILD or packaging/rpm/taskforest.spec or scripts/manage-polkit-install.sh install perf	polkit action for Intel PMU helper	root via package/polkit	path annotation must match helper; no direct overwrite	package transaction or scripts/manage-polkit-install.sh uninstall perf	polkit/io.github.YellowWhiteBlackCat.TaskForest.perf-helper.policy.in
POLKIT-NET-HELPER	system	optional-root	/usr/libexec/taskforest-net-launcher	target/release/taskmanager-net-launcher	root	packaging/arch/PKGBUILD or packaging/rpm/taskforest.spec or scripts/manage-polkit-install.sh install net	one-shot AF_PACKET launcher	root via polkit	install only from reviewed artifact; no direct overwrite	package transaction or scripts/manage-polkit-install.sh uninstall net	polkit/io.github.YellowWhiteBlackCat.TaskForest.net-launcher.policy.in
POLKIT-NET-POLICY	system	optional-root	/usr/share/polkit-1/actions/io.github.YellowWhiteBlackCat.TaskForest.net-launcher.policy	polkit/io.github.YellowWhiteBlackCat.TaskForest.net-launcher.policy.in	root	packaging/arch/PKGBUILD or packaging/rpm/taskforest.spec or scripts/manage-polkit-install.sh install net	polkit action for AF_PACKET launcher	root via package/polkit	path annotation must match helper; no direct overwrite	package transaction or scripts/manage-polkit-install.sh uninstall net	polkit/io.github.YellowWhiteBlackCat.TaskForest.net-launcher.policy.in
POLKIT-PROCESS-HELPER	system	optional-root	/usr/libexec/taskforest-process-control-helper	target/release/taskmanager-process-control-helper	root	packaging/arch/PKGBUILD or packaging/rpm/taskforest.spec or scripts/manage-polkit-install.sh install process	one identity-checked foreign-process operation	root via polkit	install only from reviewed artifact; no direct overwrite	package transaction or scripts/manage-polkit-install.sh uninstall process	crates/taskmanager-process-control-helper/src/main.rs
POLKIT-PROCESS-POLICY	system	optional-root	/usr/share/polkit-1/actions/io.github.YellowWhiteBlackCat.TaskForest.process-control.policy	polkit/io.github.YellowWhiteBlackCat.TaskForest.process-control.policy.in	root	packaging/arch/PKGBUILD or packaging/rpm/taskforest.spec or scripts/manage-polkit-install.sh install process	polkit action for one process-control operation	root via package/polkit	path annotation must match helper; no direct overwrite	package transaction or scripts/manage-polkit-install.sh uninstall process	polkit/io.github.YellowWhiteBlackCat.TaskForest.process-control.policy.in
POLKIT-SMBIOS-HELPER	system	optional-root	/usr/libexec/taskforest-smbios-helper	target/release/taskmanager-smbios-helper	root	packaging/arch/PKGBUILD or packaging/rpm/taskforest.spec or scripts/manage-polkit-install.sh install smbios	one read-only SMBIOS type-17 memory inventory	root via polkit	install only from reviewed artifact; no direct overwrite	package transaction or scripts/manage-polkit-install.sh uninstall smbios	crates/taskmanager-smbios-helper/src/main.rs
POLKIT-SMBIOS-POLICY	system	optional-root	/usr/share/polkit-1/actions/io.github.YellowWhiteBlackCat.TaskForest.smbios-helper.policy	polkit/io.github.YellowWhiteBlackCat.TaskForest.smbios-helper.policy.in	root	packaging/arch/PKGBUILD or packaging/rpm/taskforest.spec or scripts/manage-polkit-install.sh install smbios	polkit action for the SMBIOS memory helper	root via package/polkit	path annotation must match helper; no direct overwrite	package transaction or scripts/manage-polkit-install.sh uninstall smbios	polkit/io.github.YellowWhiteBlackCat.TaskForest.smbios-helper.policy.in
POLKIT-RAPL-HELPER	system	optional-root	/usr/libexec/taskforest-rapl-helper	target/release/taskmanager-rapl-helper	root	packaging/arch/PKGBUILD or packaging/rpm/taskforest.spec or scripts/manage-polkit-install.sh install rapl	one read-only RAPL package-power sample	root via polkit	install only from reviewed artifact; no direct overwrite	package transaction or scripts/manage-polkit-install.sh uninstall rapl	crates/taskmanager-rapl-helper/src/main.rs
POLKIT-RAPL-POLICY	system	optional-root	/usr/share/polkit-1/actions/io.github.YellowWhiteBlackCat.TaskForest.rapl-helper.policy	polkit/io.github.YellowWhiteBlackCat.TaskForest.rapl-helper.policy.in	root	packaging/arch/PKGBUILD or packaging/rpm/taskforest.spec or scripts/manage-polkit-install.sh install rapl	polkit action for the RAPL package-power helper	root via package/polkit	path annotation must match helper; no direct overwrite	package transaction or scripts/manage-polkit-install.sh uninstall rapl	polkit/io.github.YellowWhiteBlackCat.TaskForest.rapl-helper.policy.in
POLKIT-MSR-HELPER	system	optional-root	/usr/libexec/taskforest-msr-helper	target/release/taskmanager-msr-helper	root	packaging/arch/PKGBUILD or packaging/rpm/taskforest.spec or scripts/manage-polkit-install.sh install msr	one read-only MSR readout sweep (/dev/cpu/*/msr)	root via polkit	install only from reviewed artifact; no direct overwrite	package transaction or scripts/manage-polkit-install.sh uninstall msr	crates/taskmanager-msr-helper/src/main.rs
POLKIT-MSR-POLICY	system	optional-root	/usr/share/polkit-1/actions/io.github.YellowWhiteBlackCat.TaskForest.msr-helper.policy	polkit/io.github.YellowWhiteBlackCat.TaskForest.msr-helper.policy.in	root	packaging/arch/PKGBUILD or packaging/rpm/taskforest.spec or scripts/manage-polkit-install.sh install msr	polkit action for the MSR readout helper	root via package/polkit	path annotation must match helper; no direct overwrite	package transaction or scripts/manage-polkit-install.sh uninstall msr	polkit/io.github.YellowWhiteBlackCat.TaskForest.msr-helper.policy.in
DEV-GPUI-DESKTOP	system-user	developer-user	$XDG_DATA_HOME/applications/io.github.YellowWhiteBlackCat.TaskForestG.desktop	packaging/linux/io.github.YellowWhiteBlackCat.TaskForestG.desktop	user	scripts/dev-install-frontends.sh	user-local TaskForestG application entry	user	remove only the managed user-local entry	scripts/dev-install-frontends.sh --uninstall	scripts/dev-install-frontends.sh
DEV-ICED-DESKTOP	system-user	developer-user	$XDG_DATA_HOME/applications/io.github.YellowWhiteBlackCat.TaskForestI.desktop	packaging/linux/io.github.YellowWhiteBlackCat.TaskForestI.desktop	user	scripts/dev-install-frontends.sh	user-local TaskForestI application entry	user	remove only the managed user-local entry	scripts/dev-install-frontends.sh --uninstall	scripts/dev-install-frontends.sh
DEV-ICON	system-user	developer-user	$XDG_DATA_HOME/icons/hicolor/scalable/apps/taskforest-taskboard.svg	packaging/linux/io.github.YellowWhiteBlackCat.TaskForest.svg	user	scripts/dev-install-frontends.sh	user-local TaskForest process-monitor icon	user	adopt only identical content; never overwrite a different file	scripts/dev-install-frontends.sh --uninstall (only with matching ownership hash)	scripts/dev-install-frontends.sh
DEV-HICOLOR-INDEX	system-user	developer-user	$XDG_DATA_HOME/icons/hicolor/index.theme	/usr/share/icons/hicolor/index.theme	user	scripts/dev-install-frontends.sh	user-local icon-theme index copied only when absent	user	record pre-existing index as external; never overwrite different content	scripts/dev-install-frontends.sh --uninstall (only when receipt-owned and hash matches)	scripts/dev-install-frontends.sh
DEV-FRONTENDS-STATE	system-user	developer-user	$XDG_DATA_HOME/taskforest/dev-install-frontends.tsv	generated ownership receipt	user	scripts/dev-install-frontends.sh	removal authority for developer-owned desktop entries and icon assets	user	create only when absent; reject malformed or different state	scripts/dev-install-frontends.sh --uninstall (after owned files pass hash verification)	scripts/dev-install-frontends.sh
WIN-MSI-G-EXE	system	package-managed	[ProgramFiles64Folder]\TaskForest\taskforest-g.exe	target/release/taskforest-g.exe	administrators	packaging/windows/build-msi.sh ui=G	TaskForestG Windows per-machine frontend executable	administrator	MSI per-machine component owns the path; MajorUpgrade AllowSameVersionUpgrades replaces it; a foreign file is not overwritten	Windows Installer uninstall (msiexec /x TaskForest-G.msi)	packaging/windows/taskforest.wxs
WIN-MSI-I-EXE	system	package-managed	[ProgramFiles64Folder]\TaskForest\taskforest-i.exe	target/release/taskforest-i.exe	administrators	packaging/windows/build-msi.sh ui=I	TaskForestI Windows per-machine frontend executable	administrator	MSI per-machine component owns the path; MajorUpgrade AllowSameVersionUpgrades replaces it; a foreign file is not overwritten	Windows Installer uninstall (msiexec /x TaskForest-I.msi)	packaging/windows/taskforest.wxs
WIN-MSI-T-EXE	system	package-managed	[ProgramFiles64Folder]\TaskForest\taskforest-t.exe	target/release/taskforest-t.exe	administrators	packaging/windows/build-msi.sh ui=T	TaskForestT Windows per-machine frontend executable	administrator	MSI per-machine component owns the path; MajorUpgrade AllowSameVersionUpgrades replaces it; a foreign file is not overwritten	Windows Installer uninstall (msiexec /x TaskForest-T.msi)	packaging/windows/taskforest.wxs
WIN-MSI-B-EXE	system	package-managed	[ProgramFiles64Folder]\TaskForest\taskforest-b.exe	target/release/taskforest-b.exe	administrators	packaging/windows/build-msi.sh ui=B	TaskForestB Windows per-machine frontend executable	administrator	MSI per-machine component owns the path; MajorUpgrade AllowSameVersionUpgrades replaces it; a foreign file is not overwritten	Windows Installer uninstall (msiexec /x TaskForest-B.msi)	packaging/windows/taskforest.wxs
WIN-MSI-G-SHORTCUT	system	package-managed	[ProgramMenuFolder]\TaskForest\TaskForestG.lnk	generated Start Menu shortcut	administrators	packaging/windows/build-msi.sh ui=G	TaskForestG Start Menu shortcut to its frontend executable	administrator	MSI per-machine component owns the path; MajorUpgrade AllowSameVersionUpgrades replaces it; a foreign file is not overwritten	Windows Installer uninstall (msiexec /x TaskForest-G.msi)	packaging/windows/taskforest.wxs
WIN-MSI-I-SHORTCUT	system	package-managed	[ProgramMenuFolder]\TaskForest\TaskForestI.lnk	generated Start Menu shortcut	administrators	packaging/windows/build-msi.sh ui=I	TaskForestI Start Menu shortcut to its frontend executable	administrator	MSI per-machine component owns the path; MajorUpgrade AllowSameVersionUpgrades replaces it; a foreign file is not overwritten	Windows Installer uninstall (msiexec /x TaskForest-I.msi)	packaging/windows/taskforest.wxs
WIN-MSI-T-SHORTCUT	system	package-managed	[ProgramMenuFolder]\TaskForest\TaskForestT.lnk	generated Start Menu shortcut	administrators	packaging/windows/build-msi.sh ui=T	TaskForestT Start Menu shortcut to its frontend executable	administrator	MSI per-machine component owns the path; MajorUpgrade AllowSameVersionUpgrades replaces it; a foreign file is not overwritten	Windows Installer uninstall (msiexec /x TaskForest-T.msi)	packaging/windows/taskforest.wxs
